row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_S4_MC_RCG_3_neg_20210511_Run171.mzML Peak area,GF_S4_MC_RCG_2_neg_20210511_Run91.mzML Peak area,GF_S4_MC_RCG_1_neg_20210511_Run71.mzML Peak area,
527,88.04030048729955,0.88291746,,,,,,,,,,,24856.973,64370.58,466323.47,998725.56,667131.3,189978.06,
97,88.04030250173219,0.40980724,,,,72,,,,,,,3977435.0,4953679.5,8714499.0,1.4042512E7,9412553.0,1.5085463E7,
403,88.04030564794398,0.72090816,,,,22,,,,,,,469404.0,273677.53,1166970.0,734515.0,327005.28,3706950.8,
414,89.02429895330484,0.72936755,,,,,,,,,,,804394.7,776300.6,2894794.2,5470242.5,1.5510724E7,7950230.0,
232,89.0243072396854,0.53934664,,,,,,,,,,,4741892.5,4514756.5,5579446.5,1.3057739E8,1.0688133E8,1.015439E8,
600,89.02430850150726,1.0390469,,,,,,,,,,,640288.4,280206.62,595487.44,3248954.5,1.111363E7,5.5523996E7,
725,89.02431562172849,1.175527,,,,,,,,,,,366030.3,257792.14,843513.9,8280715.5,1766275.5,3304540.5,
486,89.02431719924924,0.87784666,,,,,,,,,,,583121.75,683067.56,284573.97,9090506.0,1.8914784E7,7813326.0,
565,89.02431983896479,0.9900101,,,,,,,,,,,965849.4,119365.21,441397.97,8214664.5,1.5222622E7,1.3340868E7,
807,89.02432207048876,1.37788,,,,,,,,,,,50599.688,922179.6,510743.3,6049001.5,1.2561311E7,1.2593129E7,
40,89.02432364761641,0.40905204,,,,,,,,,,,3708077.2,4890979.5,3028859.0,2.8050142E7,2.4365916E7,3.2425614E7,
582,90.0276241334536,1.0097146,,,,,,,,,,,0,0,3201.896,107509.2,523660.34,1774019.5,
511,90.02763380931282,0.94380206,,,,,,,,,,,0,0,3201.896,882361.25,322163.22,387931.22,
257,90.02764075660173,0.55320626,,,,,,,,,,,39866.324,31718.168,44411.047,3304172.8,3511010.0,3471450.5,
14,92.92797423020285,0.33224562,,,,25,,,,,,,1873782.1,1617710.6,1125197.5,1030236.75,1007006.6,1029239.3,
15,94.92503203786656,0.33224562,,,,25,,,,,,,1277231.9,1108666.9,773917.2,697008.7,682512.56,692114.56,
182,96.96004084792229,0.5430786,,,,,,,,,,,1484890.1,675290.6,262494.56,19701.72,28350.234,34957.594,
3565,96.96006317151476,11.034562,,,,,,,,,,,4068568.2,4233357.0,4609185.5,3909973.5,3973389.2,3672435.5,
6,96.96011186522547,0.32124504,,,,,,,,,,,1433157.5,595961.9,473482.53,309319.34,324368.03,169611.14,
3161,99.92578185694543,7.7114983,,,,,,,,,,,6015595.0,3567221.0,3554203.5,4708909.5,2.9871356E7,3578839.2,
3349,99.92579112253031,8.485242,,,,,,,,,,,7771783.0,3.6172896E7,3.852038E7,5171583.5,5164225.0,6865772.0,
3284,99.92579205573752,8.149406,,,,179,,,,,,,3.8313276E7,3368625.0,3828257.5,3.231067E7,5095541.0,3.4226216E7,
1916,101.06082726796313,3.1045654,,,,,,,,,,,283271.5,64065.14,264909.2,1007246.1,1051259.8,953903.3,
22,102.95685963145927,0.3424463,,,,70,,,,,,,2492186.0,2575457.5,2337215.0,2260228.5,2280427.5,2231738.8,
12,104.03535112970674,0.3472445,,,,,,,,,,,412307.0,313624.6,663181.25,1288657.8,1286408.2,1507449.2,
23,104.95386231566351,0.3424463,,,,70,,,,,,,811463.8,838842.6,766538.25,747791.5,747113.4,718408.9,
3488,106.04102999727978,10.183864,,,,,,,,,,,931807.9,9594.441,155087.33,64910.188,101413.53,29135.209,
3335,106.04104445327107,8.422812,,,,,,,,,,,650768.56,7695.1484,82681.664,99442.56,50125.32,28199.871,
3476,106.04105598710045,9.985736,,,,,,,,,,,1058671.9,10142.684,81801.5,123137.27,35350.83,11465.893,
3449,106.04105980219276,9.585252,,,,,,,,,,,335291.03,4145.9062,44985.67,67744.84,25980.84,7358.0957,
3366,106.04108049714536,8.545301,,,,,,,,,,,575868.25,9464.734,82681.664,148183.61,48660.273,18309.273,
41,110.95802702731828,0.39438477,,,,,,,,,,,841419.3,555841.25,618201.44,176402.77,118368.68,86761.43,
201,111.01998649745836,0.5045382,,,,88,,,,,,,1.1640286E7,1.4565439E7,1.2020184E7,3.2116582E7,2.6771144E7,3.0923988E7,
736,111.01998689268214,1.1779658,,,,,,,,,,,228810.98,139360.34,640638.5,3759291.5,551458.8,5397352.5,
811,111.0199898779835,1.4171224,,,,,,,,,,,96159.35,96065.45,581605.9,3062420.0,2362307.0,3245320.8,
666,111.01999079294576,1.0891588,,,,,,,,,,,193197.88,227808.97,103905.95,1703770.6,1549559.2,1710071.4,
1083,111.02002029320197,2.2293856,,,,,,,,,,,99347.31,264763.6,81862.68,1973134.8,391164.56,1685841.1,
3521,112.98560317203277,10.24783,,,,,,,,,,,9858635.0,7174000.5,8412541.0,6052126.0,7633316.5,9385620.0,
3546,112.98563034309615,10.48557,,,,,,,,,,,3218155.8,2785912.8,4291614.5,4665358.5,4527068.0,5372834.5,
32,112.9856702819139,0.36208987,,,,70,,,,,,,3930998.0,4562767.0,5045882.0,4927075.0,4879978.5,4587095.5,
3158,113.92623029261915,7.71731,,,,32,,,,,,,1536486.0,1932085.8,1557827.5,1340297.6,1298209.2,1355976.2,
3276,113.92626136302691,8.142728,,,,179,,,,,,,3347579.5,6389674.5,8945522.0,5712086.0,6220418.0,2778031.0,
1082,114.00189357367076,2.209088,,,,91,,,,,,,3601205.8,6478562.5,9903840.0,2341516.5,2956922.5,2078493.1,
572,114.05600448738822,0.9628919,,,,,,,,,,,242671.89,187521.6,46119.76,366860.94,142336.39,1294947.1,
756,114.05600605910739,1.2227048,,,,,,,,,,,22346.928,54918.402,164676.7,623596.06,2281221.5,219027.03,
423,114.05601179818552,0.708035,,,,,,,,,,,19663.348,39551.008,100557.92,550664.75,291578.75,2367085.8,
129,114.05604248857317,0.43637097,,,,72,,,,,,,3743647.5,5069973.0,4540916.5,6971309.0,4913453.5,8007027.5,
3127,114.93407690501095,7.686401,,,,4,,,,,,,2751469.8,2337688.2,2943546.8,2662424.8,2318121.2,2641032.8,
3234,114.93410660418284,8.143468,,,,179,,,,,,,2837923.2,553791.4,2686108.2,1009723.2,867444.7,2301373.0,
211,115.00365776355109,0.50691736,,,,88,,,,,,,22830.867,31204.82,52513.113,1527888.4,1507925.1,1664982.5,
3155,115.92071145639189,7.709044,,,,32,,,,,,,2.9646234E7,3.8329424E7,3.0171152E7,2.5774122E7,2.4829482E7,2.7918084E7,
3281,115.92073285321264,8.143554,,,,179,,,,,,,6.3775636E7,1.2213552E8,1.7163608E8,1.140955E8,1.20375864E8,5.296962E7,
3311,115.92073302649639,8.262807,,,,,,,,,,,3.0206752E7,1.1543866E7,3.150566E7,2.5853544E7,2.235233E7,8.032137E7,
729,116.07168146217047,1.1809074,,,,,,,,,,,123631.21,162469.61,109030.586,2096221.0,5000295.5,238383.69,
515,116.07168554816008,0.9025545,,,,,,,,,,,706440.25,242200.1,333776.53,420913.97,533556.75,2734305.2,
121,116.07169312282325,0.42683938,,,,72,,,,,,,2.5794516E7,4.211298E7,5.2386976E7,1.1015371E8,1.2084647E8,1.3378909E8,
925,116.07169926282165,1.9795834,,,,,,,,,,,471787.97,428075.94,449233.9,861107.8,787329.2,820384.5,
1085,116.071702196011,2.2010899,,,,,,,,,,,248620.44,649719.44,115861.734,296254.22,609270.8,210314.9,
3111,116.9284758916141,7.6831894,,,,4,,,,,,,5.428272E7,4.563348E7,5.9195636E7,5.1491468E7,4.4885084E7,5.1613724E7,
122,117.01928618517455,0.4281241,,,,72,,,,,,,806499.56,890650.8,2439748.2,6359283.0,5850928.5,6814591.0,
1666,117.0192935558585,2.7837172,,,,,,,,,,,0,0,6233.963,14065.371,41425.21,833292.4,
329,117.01932385437881,0.660042,,,,125,,,,,,,6103333.0,5526306.5,6767570.0,3.4863556E7,3.0625408E7,3.53718E7,
500,117.05570275373339,0.90887076,,,,225,,,,,,,112346.0,59730.04,1383743.0,2226450.0,2364916.5,1694972.2,
737,117.05570917238167,1.2130605,,,,,,,,,,,35262.848,74070.125,207511.25,2211750.5,525415.8,3182467.2,
644,117.05571564109128,1.0888008,,,,,,,,,,,248227.78,92666.4,37264.742,309783.7,2440292.5,148348.9,
940,117.05576588213103,2.0242465,,,,,,,,,,,388923.8,329437.34,216244.6,212372.88,231819.7,245079.0,
3273,117.91903068138556,8.141972,,,,,,,,,,,1858191.6,493053.12,5262363.5,844708.1,647318.6,304722.72,
3257,117.9285787010587,8.142734,,,,179,,,,,,,6225463.0,255993.14,6071532.0,2239984.5,1934587.2,5130931.5,
3113,117.9285986010151,7.6832027,,,,4,,,,,,,6220592.5,5241524.0,6675998.0,5931011.5,5132414.5,5874423.0,
138,118.04102559862743,0.43467203,,,,31,,,,,,,451505.4,1107128.6,1346475.8,583246.6,708055.4,184489.31,
726,118.04113043842206,1.1806188,,,,,,,,,,,8500.696,3669.8384,106985.12,12208.427,42366.85,45996.1,
593,118.041137961535,1.0183902,,,,,,,,,,,17823.629,5197.9307,144391.06,23928.145,26316.152,71487.11,
252,118.05093730741186,0.5682947,,,,,,,,,,,3531818.0,4352522.0,6893271.5,1.175301E7,8086386.0,1.5966482E7,
463,118.05095589370325,0.76604533,,,,,,,,,,,635424.94,236265.25,5816661.0,365593.53,512159.2,357244.8,
745,118.05096335788487,1.2149954,,,,,,,,,,,231548.7,375202.97,758246.0,1986050.5,377672.16,788805.56,
3235,118.92678123175376,8.137721,,,,179,,,,,,,1569713.8,308368.8,1469705.2,554307.56,474333.38,1224071.9,
3129,118.9267847684929,7.6872354,,,,4,,,,,,,1458561.2,1216487.1,1695729.1,1454807.9,1210123.2,1464835.6,
124,119.03490048818158,0.4571385,,,,72,,,,,,,592497.2,1204223.2,1356301.5,961371.25,346820.03,939963.0,
236,119.03491249716546,0.5432789,,,,135,,,,,,,2369582.2,1438970.6,1656950.2,1676266.6,2404939.2,1633214.5,
1523,119.05019409113206,2.642839,,,,203,,,,,,,0,607600.94,1355383.2,5522355.0,9755111.0,5156509.5,
