row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp3_1_Run41.mzML Peak area,NEG_TJGIp3_3_Run165.mzML Peak area,NEG_TJGIp3_2_Run127.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
51,89.0243038846239,0.49296197,,,,,,,,,,,440990.25,627703.56,1272880.6,773420.06,1317736.0,735227.44,
4,92.92795287423324,0.34281614,,,,4,,,,,,,894798.6,856435.56,782267.8,729293.3,1063920.2,1000870.56,
5,94.92502627481275,0.34281614,,,,4,,,,,,,583884.56,580703.94,528303.44,488117.1,697151.94,659705.4,
688,96.96004364941325,5.9012947,,,,,,,,,,,320663.62,165842.38,46635.914,151765.19,169731.31,1251070.6,
2056,96.96007528591728,10.994061,,,,,,,,,,,3910449.2,3628094.8,4002435.2,4037471.2,3948840.0,3078400.2,
3,96.96012986532729,0.32801452,,,,,,,,,,,1.05207E7,8693693.0,5020431.0,6626747.0,3073985.5,1.3735668E7,
35,96.96949979505202,0.39719948,,,,12,,,,,,,8238824.0,8218160.0,5981307.5,5797339.0,5932888.5,7692605.0,
1972,99.9257523797607,10.201916,,,,,,,,,,,2584446.2,2467629.8,2149814.2,1978894.4,2357819.2,2707960.8,
1836,99.92576537576217,8.455985,,,,,,,,,,,6111562.0,3.2841748E7,2.4977962E7,3.305373E7,4987146.5,4.312617E7,
1655,99.92577234337097,8.14566,,,,,,,,,,,3.4104164E7,5535646.5,4077860.8,5983350.0,3.1503694E7,8149373.5,
1821,100.92593385031155,8.444056,,,,,,,,,,,451309.8,423709.66,530121.0,736201.94,545988.06,4942311.0,
1506,100.93358149753396,7.715571,,,,55,,,,,,,4012904.5,4238576.5,5946524.0,3139535.8,4139555.5,5677018.5,
1693,100.93359077495889,8.13486,,,,17,,,,,,,1.4243608E7,5908635.0,2435695.8,2.2087788E7,1.6547613E7,1.1269412E7,
44,101.02439440111063,0.45120987,,,,,,,,,,,235903.69,96932.375,1185744.4,157103.75,420220.06,124437.65,
33,103.00367599338223,0.39131823,,,,12,,,,,,,1058081.2,675641.5,750269.9,607409.75,1361157.9,1063521.4,
1822,106.04099685313902,8.417531,,,,,,,,,,,404567.88,4999.754,103418.67,966660.6,22998.25,0,
1960,106.04103931699596,10.16991,,,,,,,,,,,2485600.2,13870.822,135779.69,1758943.8,103950.016,28653.504,
1943,106.04104552694177,9.867805,,,,,,,,,,,1434502.8,22538.371,58641.266,2180447.5,54827.957,28956.605,
1936,106.04105198275757,9.70412,,,,,,,,,,,374948.34,8054.3438,63519.004,62291.86,32517.996,9931.633,
1951,106.04106223579963,10.028893,,,,,,,,,,,476928.7,12851.735,45971.15,138560.2,69418.38,28956.605,
1847,106.04106295759833,8.545573,,,,,,,,,,,694467.6,8975.744,33245.316,1128314.9,22598.383,21196.8,
1922,106.04107200575568,9.510403,,,,,,,,,,,221833.27,18690.367,87922.88,279137.7,39969.29,8401.852,
1919,106.0410657395124,9.446406,,,,,,,,,,,712484.7,18690.367,80769.266,504887.28,39969.29,13906.945,
102,107.05025624222056,2.7560775,,,,,,,,,,,649416.2,545015.3,501406.34,385297.7,798886.56,595567.7,
2000,112.98559570481639,10.246994,,,,,,,,,,,8357584.0,6353702.0,5368252.5,6368325.0,6271658.5,8260289.5,
2034,112.9856280931257,10.465878,,,,,,,,,,,4733209.0,5076407.0,3948680.0,3551718.8,4409410.0,4527687.0,
1983,113.92619323786982,10.207954,,,,,,,,,,,494704.1,471081.66,403301.47,535920.44,464608.16,509037.97,
1515,113.92620830449204,7.7238593,,,,55,,,,,,,1403445.8,1201655.4,3252197.2,1158471.9,1003339.44,1677141.2,
1835,113.92621572383989,8.4612255,,,,,,,,,,,732813.8,3152395.0,1010368.3,1434959.5,1159907.0,1891957.0,
1733,113.92623278777076,8.138154,,,,17,8,[M+K]+,,2,1751;1733,74.96321,5106408.5,2141371.2,888904.94,8066906.0,6382793.5,3205554.2,
1284,114.93403524171839,7.4453278,,,,5,5,[M+K]+,,2,1287;1284,75.97102,687006.4,451003.94,737720.2,581358.4,984459.1,376597.53,
1441,114.93406112653867,7.682096,,,,115,6,[M+K]+,,2,1443;1441,75.97103,1542290.0,1068891.9,1224885.6,1865781.6,2126714.5,1832431.9,
